Identifiant du compteur,Nom du compteur,Identifiant du site de comptage,Nom du site de comptage,Coordonnées géographiques
100047534-101047534,16 avenue de la Porte des Ternes E-O,100047534,16 avenue de la Porte des Ternes,"48.88156, 2.28122"
100047535-101047535,Pont du Garigliano NO-SE,100047535,Pont du Garigliano,"48.83994, 2.26692"
100047536-101047536,102 boulevard de Magenta SE-NO,100047536,102 boulevard de Magenta,"48.87769, 2.35475"
100047538-101047538,Face au 16 avenue de la  Porte des Ternes O-E,100047538,Face au 16 avenue de la  Porte des Ternes,"48.88168, 2.28113"
100047539-101047539,21 boulevard Auguste Blanqui SO-NE,100047539,21 boulevard Auguste Blanqui,"48.83074, 2.35373"
100047540-101047540,72 boulevard Richard Lenoir S-N,100047540,72 boulevard Richard Lenoir,"48.86077, 2.37305"
100047541-353326452,Pont National SO-NE,100047541,Pont National,"48.82639, 2.38448"
100047542-103047542,Face au 48 quai de la marne NE-SO,100047542,Face au 48 quai de la marne,"48.89172, 2.38531"
100047542-104047542,Face au 48 quai de la marne SO-NE,100047542,Face au 48 quai de la marne,"48.89172, 2.38531"
100047544-101047544,77 boulevard Richard Lenoir N-S,100047544,77 boulevard Richard Lenoir,"48.860852, 2.372279"
100047545-103047545,Face 104 rue d'Aubervilliers N-S,100047545,Face 104 rue d'Aubervilliers,"48.890457, 2.368852"
100047545-104047545,Face 104 rue d'Aubervilliers S-N,100047545,Face 104 rue d'Aubervilliers,"48.890457, 2.368852"
100047546-103047546,Face au 70 quai de Bercy S-N,100047546,Face au 70 quai de Bercy,"48.829523, 2.38699"
100047546-104047546,Face au 70 quai de Bercy N-S,100047546,Face au 70 quai de Bercy,"48.829523, 2.38699"
100047547-103047547,6 rue Julia Bartet SO-NE,100047547,6 rue Julia Bartet,"48.82624, 2.30281"
100047547-104047547,6 rue Julia Bartet NE-SO,100047547,6 rue Julia Bartet,"48.82624, 2.30281"
100047548-103047548,Face au 25 quai de l'Oise NE-SO,100047548,Face au 25 quai de l'Oise,"48.89141, 2.38482"
100047548-104047548,Face au 25 quai de l'Oise SO-NE,100047548,Face au 25 quai de l'Oise,"48.89141, 2.38482"
100047549-101047549,Pont National NE-SO,100047549,Pont National,"48.82682, 2.38465"
100047551-102047551,Pont du Garigliano SE-NO,100047551,Pont du Garigliano,"48.83992, 2.26708"
100049407-353255859,152 boulevard du Montparnasse O-E,100049407,152 boulevard du Montparnasse,"48.84017, 2.33438"
100049407-353255860,152 boulevard du Montparnasse E-O,100049407,152 boulevard du Montparnasse,"48.84017, 2.33438"
100049408-101049408,10 boulevard Auguste Blanqui NE-SO,100049408,10 boulevard Auguste Blanqui,"48.83082, 2.35317"
100050132-101050132,243 boulevard Saint Germain NO-SE,100050132,243 boulevard Saint Germain,"48.86179, 2.32014"
100050876-103050876,Totem 64 Rue de Rivoli E-O,100050876,Totem 64 Rue de Rivoli,"48.85735, 2.35211"
100050876-104050876,Totem 64 Rue de Rivoli O-E,100050876,Totem 64 Rue de Rivoli,"48.85735, 2.35211"
100056032-101056032,87 avenue de Flandre NE-SO,100056032,87 avenue de Flandre,"48.88926, 2.37472"
100056034-101056034,72 avenue de Flandre SO-NE,100056034,72 avenue de Flandre,"48.889046, 2.374872"
100056035-353266460,Quai des Tuileries SE-NO,100056035,Quai des Tuileries,"48.8635, 2.32239"
100056035-353266462,Quai des Tuileries NO-SE,100056035,Quai des Tuileries,"48.8635, 2.32239"
100056038-101056038,44 avenue des Champs Elysées SE-NO,100056038,44 avenue des Champs Elysées,"48.86999, 2.30743"
100056039-101056039,180 avenue d'Italie N-S,100056039,180 avenue d'Italie,"48.82048, 2.35873"
100056040-101056040,129 rue Lecourbe SO-NE,100056040,129 rue Lecourbe,"48.84222, 2.30102"
100056041-101056041,147 avenue d'Italie S-N,100056041,147 avenue d'Italie,"48.82009, 2.3588"
